f_max,n_eff
191434674861668.47,1.5639716684974092
191434674861668.47,1.5686717791541778
191353444997443.78,1.5607968431548278
191434674861668.47,1.5689149248800887
191465136060752.72,1.5622495903040132
191434674861668.47,1.5693623844307556
191373752463499.94,1.5651802408860467
191465136060752.72,1.5642922919297542
191302676332303.34,1.5657323967997225
191465136060752.72,1.5605762908893612
191454982327724.62,1.5651151012729387
191353444997443.78,1.561391290430864
191353444997443.78,1.561592676888323
191394059929556.12,1.5610840617965314
191353444997443.78,1.5600871903221962
191373752463499.94,1.5603175642386031
191302676332303.34,1.5622154615671102
191363598730471.88,1.5608439616899221
191373752463499.94,1.5647894542056981
191302676332303.34,1.5602924028112033
191434674861668.47,1.5629042375593345
191302676332303.34,1.5634513467320377
191353444997443.78,1.5649775099130547
191353444997443.78,1.561212342264951
191414367395612.28,1.5719352632000803
191282368866247.16,1.562526156132878
191444828594696.56,1.5688148651549148
191363598730471.88,1.5608899521655477
191434674861668.47,1.5632782735727597
186499960610018.2,1.8352546052780199
186459345677905.84,1.8207606649144463
186459345677905.84,1.8302814554955387
186347654614596.88,1.8231613003083917
186499960610018.2,1.8312380857436066
186347654614596.88,1.820089734356007
188936856536759.06,1.7085842349840485
188987625201899.5,1.718091284807903
188987625201899.5,1.715885263469672
188977471468871.4,1.7134942645992828
189007932667955.7,1.709882932350633
189007932667955.7,1.7012162128424249
188967317735843.3,1.702493774050233
188987625201899.5,1.7002662209630293
188906395337674.8,1.718200439205791
188987625201899.5,1.7180807729472454
188967317735843.3,1.7002652461882168
188947010269787.16,1.7050452564748186
188916549070702.88,1.7126817038017572
188906395337674.8,1.7128371980954646
188987625201899.5,1.7083402341941885
188957164002815.25,1.7177453530960158
188967317735843.3,1.7074176969787969
188977471468871.4,1.7124588472100413
188906395337674.8,1.7119930606502607
189028240134011.84,1.7014540598201418
188936856536759.06,1.7008056291078393
188947010269787.16,1.704514010765812
188987625201899.5,1.7100438338052875
189058701333096.1,1.7137720112998367
188977471468871.4,1.7050266754477457
188987625201899.5,1.709950357366966
189058701333096.1,1.7152111428456251
188987625201899.5,1.7138518401015939
188947010269787.16,1.7083166175805455
188936856536759.06,1.7121890761142382
189007932667955.7,1.7043792648334037
188977471468871.4,1.7137280247696922
188967317735843.3,1.7016549956827705
188967317735843.3,1.7049399095075817
188987625201899.5,1.7164007967649362
189028240134011.84,1.704368157759422
189058701333096.1,1.7197634400882902
188947010269787.16,1.7090597284648401
188987625201899.5,1.7172949831053956
189018086400983.75,1.701879185107884
189018086400983.75,1.7003192729589938
188916549070702.88,1.7161983960496507
188886087871618.62,1.7116853980187445
188906395337674.8,1.7189736758903598
188967317735843.3,1.7026302168385792
188987625201899.5,1.7072944736048912
189018086400983.75,1.7056567424134563
189028240134011.84,1.7029059669952251
195668781534380.75,2.0208880200518413
195668781534380.75,2.020180590040683
187718408573388.62,2.3591975531697127
187718408573388.62,2.3501756585886695
187718408573388.62,2.3577400669080895
187789484704585.22,2.3629013395710134
187789484704585.22,2.3636066014889066
187789484704585.22,2.364749808307427
187718408573388.62,2.357313790866862
187789484704585.22,2.3664424369103707
187718408573388.62,2.3562147588310443
187718408573388.62,2.3557739170308003
187718408573388.62,2.352863723897231
187718408573388.62,2.3588725546716494
187789484704585.22,2.3693606287235376
